tse_id,estimulada,position,scenario,candidate,value
BR011692014,True,pr,0,AÉCIO NEVES (PSDB),53.7
BR011692014,True,pr,0,DILMA (PT),37.3
BR011692014,True,pr,0,BRANCO/NULO,4.9
BR011692014,True,pr,0,NS/NR,4.1
BR000892014,True,pr,1,AÉCIO NEVES (PSDB),58
BR000892014,True,pr,1,DILMA (PT),32.5
BR000892014,True,pr,1,NS/NR,4.8
BR000892014,True,pr,1,BRANCO/NULO,4.6
BR011442014,True,pr,2,AÉCIO NEVES (PSDB),47
BR011442014,True,pr,2,DILMA (PT),41.4
BR011442014,True,pr,2,NS/NR,7.8
BR011442014,True,pr,2,BRANCO/NULO,3.7
BR010672014,True,pr,3,AÉCIO NEVES (PSDB),47.8
BR010672014,True,pr,3,DILMA (PT),39.4
BR010672014,True,pr,3,NS/NR,5.8
BR010672014,True,pr,3,BRANCO/NULO,7
DF000392014,True,pr,4,MARINA SILVA (PSB),40.3
DF000392014,True,pr,4,DILMA (PT),21
DF000392014,True,pr,4,AÉCIO NEVES (PSDB),16.9
DF000392014,True,pr,4,PASTOR EVERALDO (PSC),1.3
DF000392014,True,pr,4,LUCIANA GENRO (PSOL),0.5
DF000392014,True,pr,4,EDUARDO JORGE (PV),0.2
DF000392014,True,pr,4,EYMAEL (PSDC),0.1
DF000392014,True,pr,4,LEVY FIDÉLIX (PRTB),0.1
DF000392014,True,pr,4,RUI COSTA PIMENTA (PCO),0.1
DF000392014,True,pr,4,ZÉ MARIA (PSTU),0.1
DF000392014,True,pr,4,NS/NR,10.3
DF000392014,True,pr,4,BRANCO/NULO,9.3
BR008192014,True,pr,5,MARINA SILVA (PSB),35.2
BR008192014,True,pr,5,DILMA (PT),29.7
BR008192014,True,pr,5,AÉCIO NEVES (PMDB),22.5
BR008192014,True,pr,5,PASTOR EVERALDO (PSC),0.7
BR008192014,True,pr,5,EDUARDO JORGE (PV),0.5
BR008192014,True,pr,5,LUCIANA GENRO (PSOL),0.4
BR008192014,True,pr,5,LEVY FIDELIX (PRTB),0.1
BR008192014,True,pr,5,EYMAEL (PSDC),
BR008192014,True,pr,5,MAURO IASI (PCB),
BR008192014,True,pr,5,ZÉ MARIA (PSTU),
BR008192014,True,pr,5,NS/ NR,5.5
BR008192014,True,pr,5,BRANCO/NULO,5.3
BR002422014,True,g,6,AÉCIO NEVES (PSDB),41.3
BR002422014,True,g,6,DILMA (PT),32.5
BR002422014,True,g,6,EDUARDO CAMPOS (PSB),5
BR002422014,True,g,6,PASTOR EVERALDO (PSC),1.7
BR002422014,True,g,6,LUCIANA GENRO (PSOL),0.2
BR002422014,True,g,6,ZÉ MARIA (PSTU),0.2
BR002422014,True,g,6,LEVY FIDÉLIX (PRTB),0.1
BR002422014,True,g,6,RUI COSTA PIMENTA (PCO),0.1
BR002422014,True,g,6,EDUARDO JORGE (PV),0.1
BR002422014,True,g,6,EYMAEL (PSDC),0.1
BR002422014,True,g,6,MAURO IASI (PCB),
BR002422014,True,g,6,NS/ NR,5.4
BR002422014,True,g,6,BRANCO/ NULO,13.6
BR001972014,True,pr,7,EDUARDO CAMPOS (PSB),8.8
BR001972014,True,pr,7,PASTOR EVERALDO (PSC),3.3
BR001972014,True,pr,7,LEVY FIDÉLIX (PRTB),0.5
BR001972014,True,pr,7,OUTRO,0.5
BR001972014,True,pr,7,ZÉ MARIA (PSTU),0.7
BR001972014,True,pr,7,EYMAEL (PSDC),0.4
BR001972014,True,pr,7,MAGNO MALTA (PR),0.4
BR001972014,True,pr,7,EDUARDO JORGE (PV),0.3
BR001972014,True,pr,7,LUCIANA GENRO (PSOL),0.3
BR001972014,True,pr,7,MAURO IASI (PCB),0.1
BR001972014,True,pr,7,NS/NR,9.2
BR001972014,True,pr,7,BRANCO/NULO,23.7
BR003252014,True,g,8,DILMA (PT),25.9
BR003252014,True,g,8,AÉCIO NEVES (PSDB),22.4
BR003252014,True,g,8,EDUARDO CAMPOS (PSB),5.9
BR003252014,True,g,8,PASTOR EVERALDO (PSC),1.8
BR003252014,True,g,8,ZÉ MARIA (PSTU),0.8
BR003252014,True,g,8,LUCIANA GENRO (PSOL),0.4
BR003252014,True,g,8,EDUARDO JORGE (PV),0.3
BR003252014,True,g,8,MAURO IASI (PCB),0.2
BR003252014,True,g,8,EYMAEL (PSDC),0.1
BR003252014,True,g,8,RUI COSTA PIMENTA (PCO),
BR003252014,True,g,8,NS/NR,26.2
BR003252014,True,g,8,BRANCO/NULO,15.9
BR003512014,True,pr,9,DILMA (PT),41
BR003512014,True,pr,9,AÉCIO NEVES (PSDB),25.8
