pesquisa_id;ano;unidades_federativas_id;unidade_federativa_nome;ambito;cargos_id;cargo;tipo_id;tipo;turno;data_pesquisa;instituto_id;instituto;voto_tipo;cenario_id;cenario_descricao;candidatos_id;candidato_partido;candidato;ano_default;condicao;percentual;data_referencia;margem_mais;margem_menos;contratante;num_registro;orgao_registro;qtd_entrevistas;partidos_id;partido;cidade
6044;2012;12;"MINAS GERAIS";MG;2;Prefeito;3;Rejeição;1;2009-03-19;39;Datafolha;"Votos Totais";14416;"Diversos candidatos";1210;"não sabe / não respondeu (N/A)";"não sabe / não respondeu";;1;28.00;16-19.mar.2009;3.00;3.00;"Folha de S.Paulo";;;974;1;N/A;"Belo Horizonte"
6045;2012;12;"MINAS GERAIS";MG;2;Prefeito;3;Rejeição;1;2009-12-18;39;Datafolha;"Votos Totais";14417;"Diversos candidatos";1210;"não sabe / não respondeu (N/A)";"não sabe / não respondeu";;1;7.00;14-18.dez.2009;3.00;3.00;"Folha de S.Paulo";;;982;1;N/A;"Belo Horizonte"
6046;2012;12;"MINAS GERAIS";MG;2;Prefeito;3;Rejeição;1;2010-07-23;39;Datafolha;"Votos Totais";14418;"Diversos candidatos";1210;"não sabe / não respondeu (N/A)";"não sabe / não respondeu";;1;6.00;20-23.jul.2010;3.00;3.00;"Folha de S.Paulo e TV Globo";51059/2010;TRE-MG;1269;1;N/A;"Belo Horizonte"
6047;2012;12;"MINAS GERAIS";MG;2;Prefeito;3;Rejeição;1;2010-11-19;39;Datafolha;"Votos Totais";14419;"Diversos candidatos";1210;"não sabe / não respondeu (N/A)";"não sabe / não respondeu";;1;5.00;17-19.nov.2010;0.00;0.00;;;;0;1;N/A;"Belo Horizonte"
6048;2012;19;PARANÁ;PR;2;Prefeito;2;Estimulada;1;2011-04-19;75;Ibope;"Votos Totais";14420;"Diversos candidatos";212;"branco / nulo / indeciso / nenhum (N/A)";"branco / nulo / indeciso / nenhum";;1;13.00;16-19.abr.2011;3.00;3.00;"Rádio CBN";;;812;1;N/A;Curitiba
6048;2012;19;PARANÁ;PR;2;Prefeito;2;Estimulada;1;2011-04-19;75;Ibope;"Votos Totais";14420;"Diversos candidatos";678;"indeciso / não sabe / não respondeu (N/A)";"indeciso / não sabe / não respondeu";;1;17.00;16-19.abr.2011;3.00;3.00;"Rádio CBN";;;812;1;N/A;Curitiba
6048;2012;19;PARANÁ;PR;2;Prefeito;2;Estimulada;1;2011-04-19;75;Ibope;"Votos Totais";14420;"Diversos candidatos";3383;"Luciano Ducci (PSB)";"Luciano Ducci";;0;23.00;16-19.abr.2011;3.00;3.00;"Rádio CBN";;;812;30;PSB;Curitiba
6048;2012;19;PARANÁ;PR;2;Prefeito;2;Estimulada;1;2011-04-19;75;Ibope;"Votos Totais";14420;"Diversos candidatos";2433;"Dr. Rosinha (PT)";"Dr. Rosinha";;0;6.00;16-19.abr.2011;3.00;3.00;"Rádio CBN";;;812;39;PT;Curitiba
6048;2012;19;PARANÁ;PR;2;Prefeito;2;Estimulada;1;2011-04-19;75;Ibope;"Votos Totais";14420;"Diversos candidatos";631;"Gustavo Fruet (PDT)";"Gustavo Fruet";;0;34.00;16-19.abr.2011;3.00;3.00;"Rádio CBN";;;812;10;PDT;Curitiba
6048;2012;19;PARANÁ;PR;2;Prefeito;2;Estimulada;1;2011-04-19;75;Ibope;"Votos Totais";14420;"Diversos candidatos";1367;"Rafael Greca (PMDB)";"Rafael Greca";;0;7.00;16-19.abr.2011;3.00;3.00;"Rádio CBN";;;812;16;PMDB;Curitiba
6049;2012;12;"MINAS GERAIS";MG;2;Prefeito;1;Espontânea;1;2011-06-12;185;Datatempo/CP2;"Votos Totais";14421;"Diversos candidatos";209;"branco / nulo (N/A)";"branco / nulo";;1;3.00;11-12.jun.2011;0.00;0.00;;;;0;1;N/A;Betim
6049;2012;12;"MINAS GERAIS";MG;2;Prefeito;1;Espontânea;1;2011-06-12;185;Datatempo/CP2;"Votos Totais";14421;"Diversos candidatos";678;"indeciso / não sabe / não respondeu (N/A)";"indeciso / não sabe / não respondeu";;1;23.40;11-12.jun.2011;0.00;0.00;;;;0;1;N/A;Betim
6049;2012;12;"MINAS GERAIS";MG;2;Prefeito;1;Espontânea;1;2011-06-12;185;Datatempo/CP2;"Votos Totais";14421;"Diversos candidatos";1175;"nenhum / não sabe / não respondeu (N/A)";"nenhum / não sabe / não respondeu";;1;8.20;11-12.jun.2011;0.00;0.00;;;;0;1;N/A;Betim
6049;2012;12;"MINAS GERAIS";MG;2;Prefeito;1;Espontânea;1;2011-06-12;185;Datatempo/CP2;"Votos Totais";14421;"Diversos candidatos";1205;"Não conhece os candidatos (N/A)";"Não conhece os candidatos";;1;18.20;11-12.jun.2011;0.00;0.00;;;;0;1;N/A;Betim
6049;2012;12;"MINAS GERAIS";MG;2;Prefeito;1;Espontânea;1;2011-06-12;185;Datatempo/CP2;"Votos Totais";14421;"Diversos candidatos";1837;"Alex Amaral (PDT)";"Alex Amaral";;0;0.40;11-12.jun.2011;0.00;0.00;;;;0;10;PDT;Betim
6049;2012;12;"MINAS GERAIS";MG;2;Prefeito;1;Espontânea;1;2011-06-12;185;Datatempo/CP2;"Votos Totais";14421;"Diversos candidatos";2053;"Beto do Depósito (PSC)";"Beto do Depósito";;0;1.60;11-12.jun.2011;0.00;0.00;;;;0;31;PSC;Betim
6049;2012;12;"MINAS GERAIS";MG;2;Prefeito;1;Espontânea;1;2011-06-12;185;Datatempo/CP2;"Votos Totais";14421;"Diversos candidatos";2105;"Carlaile Pedrosa (PSDB)";"Carlaile Pedrosa";;0;32.30;11-12.jun.2011;0.00;0.00;;;;0;33;PSDB;Betim
6049;2012;12;"MINAS GERAIS";MG;2;Prefeito;1;Espontânea;1;2011-06-12;185;Datatempo/CP2;"Votos Totais";14421;"Diversos candidatos";2216;"Ciro Pedrosa (N/A)";"Ciro Pedrosa";;0;0.20;11-12.jun.2011;0.00;0.00;;;;0;1;N/A;Betim
6049;2012;12;"MINAS GERAIS";MG;2;Prefeito;1;Espontânea;1;2011-06-12;185;Datatempo/CP2;"Votos Totais";14421;"Diversos candidatos";2566;"Eliseu Xavier (N/A)";"Eliseu Xavier";;0;0.20;11-12.jun.2011;0.00;0.00;;;;0;1;N/A;Betim
6049;2012;12;"MINAS GERAIS";MG;2;Prefeito;1;Espontânea;1;2011-06-12;185;Datatempo/CP2;"Votos Totais";14421;"Diversos candidatos";2991;"Ivair Nogueira (PMDB)";"Ivair Nogueira";;0;0.80;11-12.jun.2011;0.00;0.00;;;;0;16;PMDB;Betim
6049;2012;12;"MINAS GERAIS";MG;2;Prefeito;1;Espontânea;1;2011-06-12;185;Datatempo/CP2;"Votos Totais";14421;"Diversos candidatos";3588;"Maria Aparecida Clara (N/A)";"Maria Aparecida Clara";;0;0.20;11-12.jun.2011;0.00;0.00;;;;0;1;N/A;Betim
6049;2012;12;"MINAS GERAIS";MG;2;Prefeito;1;Espontânea;1;2011-06-12;185;Datatempo/CP2;"Votos Totais";14421;"Diversos candidatos";3606;"Maria do Carmo Lara (PT)";"Maria do Carmo Lara";;0;6.60;11-12.jun.2011;0.00;0.00;;;;0;39;PT;Betim
6049;2012;12;"MINAS GERAIS";MG;2;Prefeito;1;Espontânea;1;2011-06-12;185;Datatempo/CP2;"Votos Totais";14421;"Diversos candidatos";4031;"Pinduca (PP)";Pinduca;;0;2.00;11-12.jun.2011;0.00;0.00;;;;0;20;PP;Betim
6049;2012;12;"MINAS GERAIS";MG;2;Prefeito;1;Espontânea;1;2011-06-12;185;Datatempo/CP2;"Votos Totais";14421;"Diversos candidatos";4328;"Rômunlo Veneroso (N/A)";"Rômunlo Veneroso";;0;2.80;11-12.jun.2011;0.00;0.00;;;;0;1;N/A;Betim
6049;2012;12;"MINAS GERAIS";MG;2;Prefeito;1;Espontânea;1;2011-06-12;185;Datatempo/CP2;"Votos Totais";14421;"Diversos candidatos";4660;"Vittorio Medioli (N/A)";"Vittorio Medioli";;0;0.20;11-12.jun.2011;0.00;0.00;;;;0;1;N/A;Betim
6049;2012;12;"MINAS GERAIS";MG;2;Prefeito;2;Estimulada;1;2011-06-12;185;Datatempo/CP2;"Votos Totais";14422;"Diversos candidatos";212;"branco / nulo / indeciso / nenhum (N/A)";"branco / nulo / indeciso / nenhum";;1;5.20;11-12.jun.2011;0.00;0.00;;;;0;1;N/A;Betim
6049;2012;12;"MINAS GERAIS";MG;2;Prefeito;2;Estimulada;1;2011-06-12;185;Datatempo/CP2;"Votos Totais";14422;"Diversos candidatos";678;"indeciso / não sabe / não respondeu (N/A)";"indeciso / não sabe / não respondeu";;1;8.10;11-12.jun.2011;0.00;0.00;;;;0;1;N/A;Betim
6049;2012;12;"MINAS GERAIS";MG;2;Prefeito;2;Estimulada;1;2011-06-12;185;Datatempo/CP2;"Votos Totais";14422;"Diversos candidatos";1837;"Alex Amaral (PDT)";"Alex Amaral";;0;2.80;11-12.jun.2011;0.00;0.00;;;;0;10;PDT;Betim
6049;2012;12;"MINAS GERAIS";MG;2;Prefeito;2;Estimulada;1;2011-06-12;185;Datatempo/CP2;"Votos Totais";14422;"Diversos candidatos";2053;"Beto do Depósito (PSC)";"Beto do Depósito";;0;6.00;11-12.jun.2011;0.00;0.00;;;;0;31;PSC;Betim
6049;2012;12;"MINAS GERAIS";MG;2;Prefeito;2;Estimulada;1;2011-06-12;185;Datatempo/CP2;"Votos Totais";14422;"Diversos candidatos";2105;"Carlaile Pedrosa (PSDB)";"Carlaile Pedrosa";;0;52.10;11-12.jun.2011;0.00;0.00;;;;0;33;PSDB;Betim
6049;2012;12;"MINAS GERAIS";MG;2;Prefeito;2;Estimulada;1;2011-06-12;185;Datatempo/CP2;"Votos Totais";14422;"Diversos candidatos";2991;"Ivair Nogueira (PMDB)";"Ivair Nogueira";;0;3.20;11-12.jun.2011;0.00;0.00;;;;0;16;PMDB;Betim
6049;2012;12;"MINAS GERAIS";MG;2;Prefeito;2;Estimulada;1;2011-06-12;185;Datatempo/CP2;"Votos Totais";14422;"Diversos candidatos";3606;"Maria do Carmo Lara (PT)";"Maria do Carmo Lara";;0;10.40;11-12.jun.2011;0.00;0.00;;;;0;39;PT;Betim
6049;2012;12;"MINAS GERAIS";MG;2;Prefeito;2;Estimulada;1;2011-06-12;185;Datatempo/CP2;"Votos Totais";14422;"Diversos candidatos";4031;"Pinduca (PP)";Pinduca;;0;12.20;11-12.jun.2011;0.00;0.00;;;;0;20;PP;Betim
6049;2012;12;"MINAS GERAIS";MG;2;Prefeito;3;Rejeição;1;2011-06-12;185;Datatempo/CP2;"Votos Totais";14423;"Diversos candidatos";1210;"não sabe / não respondeu (N/A)";"não sabe / não respondeu";;1;17.70;11-12.jun.2011;0.00;0.00;;;;0;1;N/A;Betim
6049;2012;12;"MINAS GERAIS";MG;2;Prefeito;3;Rejeição;1;2011-06-12;185;Datatempo/CP2;"Votos Totais";14423;"Diversos candidatos";1213;"Não votaria em nenhum (N/A)";"Não votaria em nenhum";;1;4.40;11-12.jun.2011;0.00;0.00;;;;0;1;N/A;Betim
6049;2012;12;"MINAS GERAIS";MG;2;Prefeito;3;Rejeição;1;2011-06-12;185;Datatempo/CP2;"Votos Totais";14423;"Diversos candidatos";1319;"Poderia votar em qualquer um (N/A)";"Poderia votar em qualquer um";;1;4.60;11-12.jun.2011;0.00;0.00;;;;0;1;N/A;Betim
6049;2012;12;"MINAS GERAIS";MG;2;Prefeito;3;Rejeição;1;2011-06-12;185;Datatempo/CP2;"Votos Totais";14423;"Diversos candidatos";1837;"Alex Amaral (PDT)";"Alex Amaral";;0;4.80;11-12.jun.2011;0.00;0.00;;;;0;10;PDT;Betim
6049;2012;12;"MINAS GERAIS";MG;2;Prefeito;3;Rejeição;1;2011-06-12;185;Datatempo/CP2;"Votos Totais";14423;"Diversos candidatos";2053;"Beto do Depósito (PSC)";"Beto do Depósito";;0;7.60;11-12.jun.2011;0.00;0.00;;;;0;31;PSC;Betim
6049;2012;12;"MINAS GERAIS";MG;2;Prefeito;3;Rejeição;1;2011-06-12;185;Datatempo/CP2;"Votos Totais";14423;"Diversos candidatos";2105;"Carlaile Pedrosa (PSDB)";"Carlaile Pedrosa";;0;2.40;11-12.jun.2011;0.00;0.00;;;;0;33;PSDB;Betim
6049;2012;12;"MINAS GERAIS";MG;2;Prefeito;3;Rejeição;1;2011-06-12;185;Datatempo/CP2;"Votos Totais";14423;"Diversos candidatos";2991;"Ivair Nogueira (PMDB)";"Ivair Nogueira";;0;3.60;11-12.jun.2011;0.00;0.00;;;;0;16;PMDB;Betim
6049;2012;12;"MINAS GERAIS";MG;2;Prefeito;3;Rejeição;1;2011-06-12;185;Datatempo/CP2;"Votos Totais";14423;"Diversos candidatos";3606;"Maria do Carmo Lara (PT)";"Maria do Carmo Lara";;0;45.50;11-12.jun.2011;0.00;0.00;;;;0;39;PT;Betim
6049;2012;12;"MINAS GERAIS";MG;2;Prefeito;3;Rejeição;1;2011-06-12;185;Datatempo/CP2;"Votos Totais";14423;"Diversos candidatos";4031;"Pinduca (PP)";Pinduca;;0;9.40;11-12.jun.2011;0.00;0.00;;;;0;20;PP;Betim
6050;2012;12;"MINAS GERAIS";MG;2;Prefeito;2;Estimulada;1;2011-06-15;185;Datatempo/CP2;"Votos Totais";14424;"Diversos candidatos";2726;"Fred Costa (PHS)";"Fred Costa";;0;0.60;10-15.jun.2011;0.00;0.00;;;;0;14;PHS;"Belo Horizonte"
6050;2012;12;"MINAS GERAIS";MG;2;Prefeito;2;Estimulada;1;2011-06-15;185;Datatempo/CP2;"Votos Totais";14424;"Diversos candidatos";3279;"Jô Moraes (PC do B)";"Jô Moraes";;0;4.10;10-15.jun.2011;0.00;0.00;;;;0;9;"PC do B";"Belo Horizonte"
6050;2012;12;"MINAS GERAIS";MG;2;Prefeito;2;Estimulada;1;2011-06-15;185;Datatempo/CP2;"Votos Totais";14424;"Diversos candidatos";3346;"Leonardo Quintão (PMDB)";"Leonardo Quintão";;0;7.70;10-15.jun.2011;0.00;0.00;;;;0;16;PMDB;"Belo Horizonte"
6050;2012;12;"MINAS GERAIS";MG;2;Prefeito;2;Estimulada;1;2011-06-15;185;Datatempo/CP2;"Votos Totais";14424;"Diversos candidatos";3740;"Márcio Lacerda (PSB)";"Márcio Lacerda";;0;23.80;10-15.jun.2011;0.00;0.00;;;;0;30;PSB;"Belo Horizonte"
6050;2012;12;"MINAS GERAIS";MG;2;Prefeito;2;Estimulada;1;2011-06-15;185;Datatempo/CP2;"Votos Totais";14424;"Diversos candidatos";4203;"Roberto Carvalho (PT)";"Roberto Carvalho";;0;0.90;10-15.jun.2011;0.00;0.00;;;;0;39;PT;"Belo Horizonte"
6050;2012;12;"MINAS GERAIS";MG;2;Prefeito;2;Estimulada;1;2011-06-15;185;Datatempo/CP2;"Votos Totais";14424;"Diversos candidatos";4451;"Sávio Souza Cruz (PMDB)";"Sávio Souza Cruz";;0;0.60;10-15.jun.2011;0.00;0.00;;;;0;16;PMDB;"Belo Horizonte"
6050;2012;12;"MINAS GERAIS";MG;2;Prefeito;2;Estimulada;1;2011-06-15;185;Datatempo/CP2;"Votos Totais";14424;"Diversos candidatos";866;"João Leite (PSDB)";"João Leite";;0;7.30;10-15.jun.2011;0.00;0.00;;;;0;33;PSDB;"Belo Horizonte"
6050;2012;12;"MINAS GERAIS";MG;2;Prefeito;2;Estimulada;1;2011-06-15;185;Datatempo/CP2;"Votos Totais";14424;"Diversos candidatos";1256;"Patrus Ananias (PT)";"Patrus Ananias";;0;10.50;10-15.jun.2011;0.00;0.00;;;;0;39;PT;"Belo Horizonte"
6050;2012;12;"MINAS GERAIS";MG;2;Prefeito;2;Estimulada;1;2011-06-15;185;Datatempo/CP2;"Votos Totais";14424;"Diversos candidatos";1974;"Anônio Roberto (PV)";"Anônio Roberto";;0;1.90;10-15.jun.2011;0.00;0.00;;;;0;44;PV;"Belo Horizonte"
6050;2012;12;"MINAS GERAIS";MG;2;Prefeito;2;Estimulada;1;2011-06-15;185;Datatempo/CP2;"Votos Totais";14424;"Diversos candidatos";212;"branco / nulo / indeciso / nenhum (N/A)";"branco / nulo / indeciso / nenhum";;1;4.00;10-15.jun.2011;0.00;0.00;;;;0;1;N/A;"Belo Horizonte"
6050;2012;12;"MINAS GERAIS";MG;2;Prefeito;2;Estimulada;1;2011-06-15;185;Datatempo/CP2;"Votos Totais";14424;"Diversos candidatos";514;"Fernando Pimentel (PT)";"Fernando Pimentel";;0;25.20;10-15.jun.2011;0.00;0.00;;;;0;39;PT;"Belo Horizonte"
6050;2012;12;"MINAS GERAIS";MG;2;Prefeito;2;Estimulada;1;2011-06-15;185;Datatempo/CP2;"Votos Totais";14424;"Diversos candidatos";678;"indeciso / não sabe / não respondeu (N/A)";"indeciso / não sabe / não respondeu";;1;9.00;10-15.jun.2011;0.00;0.00;;;;0;1;N/A;"Belo Horizonte"
6050;2012;12;"MINAS GERAIS";MG;2;Prefeito;2;Estimulada;1;2011-06-15;185;Datatempo/CP2;"Votos Totais";14425;"Diversos candidatos";212;"branco / nulo / indeciso / nenhum (N/A)";"branco / nulo / indeciso / nenhum";;1;5.10;10-15.jun.2011;0.00;0.00;;;;0;1;N/A;"Belo Horizonte"
6050;2012;12;"MINAS GERAIS";MG;2;Prefeito;2;Estimulada;1;2011-06-15;185;Datatempo/CP2;"Votos Totais";14425;"Diversos candidatos";678;"indeciso / não sabe / não respondeu (N/A)";"indeciso / não sabe / não respondeu";;1;12.80;10-15.jun.2011;0.00;0.00;;;;0;1;N/A;"Belo Horizonte"
6050;2012;12;"MINAS GERAIS";MG;2;Prefeito;2;Estimulada;1;2011-06-15;185;Datatempo/CP2;"Votos Totais";14425;"Diversos candidatos";1256;"Patrus Ananias (PT)";"Patrus Ananias";;0;19.40;10-15.jun.2011;0.00;0.00;;;;0;39;PT;"Belo Horizonte"
6050;2012;12;"MINAS GERAIS";MG;2;Prefeito;2;Estimulada;1;2011-06-15;185;Datatempo/CP2;"Votos Totais";14425;"Diversos candidatos";3279;"Jô Moraes (PC do B)";"Jô Moraes";;0;6.10;10-15.jun.2011;0.00;0.00;;;;0;9;"PC do B";"Belo Horizonte"
6050;2012;12;"MINAS GERAIS";MG;2;Prefeito;2;Estimulada;1;2011-06-15;185;Datatempo/CP2;"Votos Totais";14425;"Diversos candidatos";3346;"Leonardo Quintão (PMDB)";"Leonardo Quintão";;0;12.00;10-15.jun.2011;0.00;0.00;;;;0;16;PMDB;"Belo Horizonte"
6050;2012;12;"MINAS GERAIS";MG;2;Prefeito;2;Estimulada;1;2011-06-15;185;Datatempo/CP2;"Votos Totais";14425;"Diversos candidatos";3740;"Márcio Lacerda (PSB)";"Márcio Lacerda";;0;34.90;10-15.jun.2011;0.00;0.00;;;;0;30;PSB;"Belo Horizonte"
6050;2012;12;"MINAS GERAIS";MG;2;Prefeito;2;Estimulada;1;2011-06-15;185;Datatempo/CP2;"Votos Totais";14425;"Diversos candidatos";4244;"Rodrigo de Castro (PSDB)";"Rodrigo de Castro";;0;0.30;10-15.jun.2011;0.00;0.00;;;;0;33;PSDB;"Belo Horizonte"
6050;2012;12;"MINAS GERAIS";MG;2;Prefeito;2;Estimulada;1;2011-06-15;185;Datatempo/CP2;"Votos Totais";14426;"Diversos candidatos";212;"branco / nulo / indeciso / nenhum (N/A)";"branco / nulo / indeciso / nenhum";;1;5.00;10-15.jun.2011;0.00;0.00;;;;0;1;N/A;"Belo Horizonte"
6050;2012;12;"MINAS GERAIS";MG;2;Prefeito;2;Estimulada;1;2011-06-15;185;Datatempo/CP2;"Votos Totais";14426;"Diversos candidatos";514;"Fernando Pimentel (PT)";"Fernando Pimentel";;0;32.30;10-15.jun.2011;0.00;0.00;;;;0;39;PT;"Belo Horizonte"
6050;2012;12;"MINAS GERAIS";MG;2;Prefeito;2;Estimulada;1;2011-06-15;185;Datatempo/CP2;"Votos Totais";14426;"Diversos candidatos";678;"indeciso / não sabe / não respondeu (N/A)";"indeciso / não sabe / não respondeu";;1;10.70;10-15.jun.2011;0.00;0.00;;;;0;1;N/A;"Belo Horizonte"
6050;2012;12;"MINAS GERAIS";MG;2;Prefeito;2;Estimulada;1;2011-06-15;185;Datatempo/CP2;"Votos Totais";14426;"Diversos candidatos";3279;"Jô Moraes (PC do B)";"Jô Moraes";;0;6.60;10-15.jun.2011;0.00;0.00;;;;0;9;"PC do B";"Belo Horizonte"
6050;2012;12;"MINAS GERAIS";MG;2;Prefeito;2;Estimulada;1;2011-06-15;185;Datatempo/CP2;"Votos Totais";14426;"Diversos candidatos";3346;"Leonardo Quintão (PMDB)";"Leonardo Quintão";;0;10.70;10-15.jun.2011;0.00;0.00;;;;0;16;PMDB;"Belo Horizonte"
6050;2012;12;"MINAS GERAIS";MG;2;Prefeito;2;Estimulada;1;2011-06-15;185;Datatempo/CP2;"Votos Totais";14426;"Diversos candidatos";3740;"Márcio Lacerda (PSB)";"Márcio Lacerda";;0;27.50;10-15.jun.2011;0.00;0.00;;;;0;30;PSB;"Belo Horizonte"
6050;2012;12;"MINAS GERAIS";MG;2;Prefeito;2;Estimulada;1;2011-06-15;185;Datatempo/CP2;"Votos Totais";14426;"Diversos candidatos";4244;"Rodrigo de Castro (PSDB)";"Rodrigo de Castro";;0;0.30;10-15.jun.2011;0.00;0.00;;;;0;33;PSDB;"Belo Horizonte"
6050;2012;12;"MINAS GERAIS";MG;2;Prefeito;2;Estimulada;1;2011-06-15;185;Datatempo/CP2;"Votos Totais";14426;"Diversos candidatos";4749;"Zé Fernando (PV)";"Zé Fernando";;0;0.30;10-15.jun.2011;0.00;0.00;;;;0;44;PV;"Belo Horizonte"
6050;2012;12;"MINAS GERAIS";MG;2;Prefeito;2;Estimulada;1;2011-06-15;185;Datatempo/CP2;"Votos Totais";14427;"Diversos candidatos";212;"branco / nulo / indeciso / nenhum (N/A)";"branco / nulo / indeciso / nenhum";;1;5.60;10-15.jun.2011;0.00;0.00;;;;0;1;N/A;"Belo Horizonte"
6050;2012;12;"MINAS GERAIS";MG;2;Prefeito;2;Estimulada;1;2011-06-15;185;Datatempo/CP2;"Votos Totais";14427;"Diversos candidatos";678;"indeciso / não sabe / não respondeu (N/A)";"indeciso / não sabe / não respondeu";;1;14.80;10-15.jun.2011;0.00;0.00;;;;0;1;N/A;"Belo Horizonte"
6050;2012;12;"MINAS GERAIS";MG;2;Prefeito;2;Estimulada;1;2011-06-15;185;Datatempo/CP2;"Votos Totais";14427;"Diversos candidatos";1256;"Patrus Ananias (PT)";"Patrus Ananias";;0;21.80;10-15.jun.2011;0.00;0.00;;;;0;39;PT;"Belo Horizonte"
6050;2012;12;"MINAS GERAIS";MG;2;Prefeito;2;Estimulada;1;2011-06-15;185;Datatempo/CP2;"Votos Totais";14427;"Diversos candidatos";3279;"Jô Moraes (PC do B)";"Jô Moraes";;0;7.70;10-15.jun.2011;0.00;0.00;;;;0;9;"PC do B";"Belo Horizonte"
6050;2012;12;"MINAS GERAIS";MG;2;Prefeito;2;Estimulada;1;2011-06-15;185;Datatempo/CP2;"Votos Totais";14427;"Diversos candidatos";3740;"Márcio Lacerda (PSB)";"Márcio Lacerda";;0;38.20;10-15.jun.2011;0.00;0.00;;;;0;30;PSB;"Belo Horizonte"
6050;2012;12;"MINAS GERAIS";MG;2;Prefeito;2;Estimulada;1;2011-06-15;185;Datatempo/CP2;"Votos Totais";14427;"Diversos candidatos";4244;"Rodrigo de Castro (PSDB)";"Rodrigo de Castro";;0;0.30;10-15.jun.2011;0.00;0.00;;;;0;33;PSDB;"Belo Horizonte"
6050;2012;12;"MINAS GERAIS";MG;2;Prefeito;2;Estimulada;1;2011-06-15;185;Datatempo/CP2;"Votos Totais";14427;"Diversos candidatos";4451;"Sávio Souza Cruz (PMDB)";"Sávio Souza Cruz";;0;0.60;10-15.jun.2011;0.00;0.00;;;;0;16;PMDB;"Belo Horizonte"
6050;2012;12;"MINAS GERAIS";MG;2;Prefeito;2;Estimulada;1;2011-06-15;185;Datatempo/CP2;"Votos Totais";14428;"Diversos candidatos";212;"branco / nulo / indeciso / nenhum (N/A)";"branco / nulo / indeciso / nenhum";;1;6.00;10-15.jun.2011;0.00;0.00;;;;0;1;N/A;"Belo Horizonte"
6050;2012;12;"MINAS GERAIS";MG;2;Prefeito;2;Estimulada;1;2011-06-15;185;Datatempo/CP2;"Votos Totais";14428;"Diversos candidatos";514;"Fernando Pimentel (PT)";"Fernando Pimentel";;0;34.80;10-15.jun.2011;0.00;0.00;;;;0;39;PT;"Belo Horizonte"
6050;2012;12;"MINAS GERAIS";MG;2;Prefeito;2;Estimulada;1;2011-06-15;185;Datatempo/CP2;"Votos Totais";14428;"Diversos candidatos";678;"indeciso / não sabe / não respondeu (N/A)";"indeciso / não sabe / não respondeu";;1;12.10;10-15.jun.2011;0.00;0.00;;;;0;1;N/A;"Belo Horizonte"
6050;2012;12;"MINAS GERAIS";MG;2;Prefeito;2;Estimulada;1;2011-06-15;185;Datatempo/CP2;"Votos Totais";14428;"Diversos candidatos";3279;"Jô Moraes (PC do B)";"Jô Moraes";;0;7.70;10-15.jun.2011;0.00;0.00;;;;0;9;"PC do B";"Belo Horizonte"
6050;2012;12;"MINAS GERAIS";MG;2;Prefeito;2;Estimulada;1;2011-06-15;185;Datatempo/CP2;"Votos Totais";14428;"Diversos candidatos";3740;"Márcio Lacerda (PSB)";"Márcio Lacerda";;0;30.20;10-15.jun.2011;0.00;0.00;;;;0;30;PSB;"Belo Horizonte"
6050;2012;12;"MINAS GERAIS";MG;2;Prefeito;2;Estimulada;1;2011-06-15;185;Datatempo/CP2;"Votos Totais";14428;"Diversos candidatos";4244;"Rodrigo de Castro (PSDB)";"Rodrigo de Castro";;0;0.30;10-15.jun.2011;0.00;0.00;;;;0;33;PSDB;"Belo Horizonte"
6050;2012;12;"MINAS GERAIS";MG;2;Prefeito;2;Estimulada;1;2011-06-15;185;Datatempo/CP2;"Votos Totais";14428;"Diversos candidatos";4451;"Sávio Souza Cruz (PMDB)";"Sávio Souza Cruz";;0;0.70;10-15.jun.2011;0.00;0.00;;;;0;16;PMDB;"Belo Horizonte"
6050;2012;12;"MINAS GERAIS";MG;2;Prefeito;2;Estimulada;1;2011-06-15;185;Datatempo/CP2;"Votos Totais";14428;"Diversos candidatos";4749;"Zé Fernando (PV)";"Zé Fernando";;0;0.10;10-15.jun.2011;0.00;0.00;;;;0;44;PV;"Belo Horizonte"
6051;2012;12;"MINAS GERAIS";MG;2;Prefeito;1;Espontânea;1;2011-06-27;185;Datatempo/CP2;"Votos Totais";14429;"Diversos candidatos";209;"branco / nulo (N/A)";"branco / nulo";;1;3.40;18-27.jun.2011;0.00;0.00;;;;0;1;N/A;Contagem
6051;2012;12;"MINAS GERAIS";MG;2;Prefeito;1;Espontânea;1;2011-06-27;185;Datatempo/CP2;"Votos Totais";14429;"Diversos candidatos";678;"indeciso / não sabe / não respondeu (N/A)";"indeciso / não sabe / não respondeu";;1;27.00;18-27.jun.2011;0.00;0.00;;;;0;1;N/A;Contagem
6051;2012;12;"MINAS GERAIS";MG;2;Prefeito;1;Espontânea;1;2011-06-27;185;Datatempo/CP2;"Votos Totais";14429;"Diversos candidatos";1175;"nenhum / não sabe / não respondeu (N/A)";"nenhum / não sabe / não respondeu";;1;9.60;18-27.jun.2011;0.00;0.00;;;;0;1;N/A;Contagem
6051;2012;12;"MINAS GERAIS";MG;2;Prefeito;1;Espontânea;1;2011-06-27;185;Datatempo/CP2;"Votos Totais";14429;"Diversos candidatos";1183;"Newton Cardoso (PMDB)";"Newton Cardoso";;0;4.40;18-27.jun.2011;0.00;0.00;;;;0;16;PMDB;Contagem
